ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,CommitteeName,CommitteeIdentificationNumber,DisclosureNameOfCommittee,AdvertisingJurisdiction,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
1c6be7a584f1031abf553fae62f164004669ba6be2636dfc2d108835d0de18c6,https://www.snap.com/political-ads/asset/3feae61f1aa349d4900ffd44b49e84017cbe229c11ef2d62c2b031d7c63581d6?mediaType=mp4,USD,2864,2324,2022/11/28 18:41:40Z,2022/12/06 22:00:00Z,AL Media,"222 W Ontario, Suite 600,,Chicago,60654,US",Warnock For Georgia,Warnock for Georgia,,,,,,18+,united states,Georgia,,,,,,,,,,,,"targetsmart_23,targetsmart_18",,Provided by Advertiser,,,,,web_view_url:https://iwillvote.com/?state=ga&partner=sencamp&partner_campaign=wfg_snap_2022ro&partner_medium=ads&utm_source=sencamp&utm_campaign=wfg_snap_2022ro&utm_medium=ads
15e515c68255afc025d54259d2276a5e12661cc7f3ce5f273db4afdf806b06b3,https://www.snap.com/political-ads/asset/57432a5e9274533eeeecc4bf1bc856fa4e8208ee3cc16d6f2e9cc9580348aed9?mediaType=mp4,SEK,4117,20657,2022/08/22 07:00:59Z,2022/09/11 21:59:59Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,,,,,,,,,,,,,,,,,,,,web_view_url:https://handsoff.rfsu.se/?utm_source=Snapchat&utm_medium=cpm&utm_campaign=Valkampanj2022&utm_id=60375
f09b59147118eb07fa21ff6f554a7ed5bc919f8f6b94153aabc07e39b5923bb3,https://www.snap.com/political-ads/asset/a13513570568b0eebd12cd2ae0c937b05dbe0c9ea739e636357d83110154d913?mediaType=png,CAD,0,9,2022/10/26 13:00:47Z,2022/10/27 04:59:00Z,City of Winnipeg,"510 Main St.,Winnipeg,R3B 1B9,CA",City of Winnipeg Election 2022,City of Winnipeg,,,,,,18+,canada,,,,,,,Winnipeg,,,,,,,,Provided by Advertiser,fr,,,,
fdeadd044b6dd2256193b8208d3bc15688a925e449e184e6274987828ae0d4ff,https://www.snap.com/political-ads/asset/184d5321d4b26bfaf383add24d18fe6e20ae634053ac08b3ec2d6ecc7a6a48fe?mediaType=mp4,SEK,963,3972,2022/08/22 07:00:59Z,2022/09/11 21:59:59Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,,,,,,,,,,,,,,,,,,,,web_view_url:https://handsoff.rfsu.se/?utm_source=Snapchat&utm_medium=cpm&utm_campaign=Valkampanj2022&utm_id=60375
a9530963f95c3c87353056d80a57a5e2622ba19505b225a18368743c147627d2,https://www.snap.com/political-ads/asset/eb5d1f0d77aa8d6f82473a9ad5eb48170b5c7579fcc86bbb8d91b5a509a786c8?mediaType=mp4,SEK,785,458,2022/08/01 05:00:44Z,2022/08/07 21:59:00Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,Stockholms Lan,,,,,,,,,,,,"Political News Watchers,Parents & Family-Focused,Philanthropists,Wellness & Healthy Lifestyle",,Provided by Advertiser,,,,,web_view_url:https://handsoff.rfsu.se/
2e1f0b097097ce40e22d95256fe3a68368175fc317da704af59ddaa50cff4b0b,https://www.snap.com/political-ads/asset/b2958141734143fe9068bfcc188b7d9c64c30cd65b301c75e6f5f3068fdf00f4?mediaType=mp4,USD,3,4,2022/10/30 13:00:00Z,2022/10/31 03:59:00Z,BerlinRosen,"15 Maiden Lane #16,New York,10038,US",,United We Dream Action,,,,,,17+,united states,,,,,latitude 29.568841;longitude -97.964727;radius 5.0,,,,,,,,,,Provided by Advertiser,,,,,
04c1e356b77adabfefe6509fd1be445125ce735b6e73aaf3f3a617647dadb47e,https://www.snap.com/political-ads/asset/184d5321d4b26bfaf383add24d18fe6e20ae634053ac08b3ec2d6ecc7a6a48fe?mediaType=mp4,SEK,1287,1191,2022/08/01 05:00:44Z,2022/08/07 21:59:00Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,Stockholms Lan,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://handsoff.rfsu.se/
beba2fb193bccba4abfd8866fa05ace203c709754112e0d7ece440fcecfc00a3,https://www.snap.com/political-ads/asset/703488a338d5de6fa1e15157de79bca1885a60b1a5225acbdf9f149044669c8a?mediaType=mp4,SEK,412,647,2022/08/22 07:00:59Z,2022/09/11 21:59:59Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,,,,,,,,,,,,,,,,,,,,web_view_url:https://handsoff.rfsu.se/?utm_source=Snapchat&utm_medium=cpm&utm_campaign=Valkampanj2022&utm_id=60375
8a0451fcf9fe6927527c922492e52714938051d68b51efb5b73eca17c20bf6af,https://www.snap.com/political-ads/asset/e079a3f93e1075a8265f419e6056458b4e3e59feadfd9cf7d6c8fcdf04e171b8?mediaType=mp4,SEK,2142,2829,2022/08/01 05:00:44Z,2022/08/07 21:59:00Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,Stockholms Lan,,,,,,,,,,,,"Political News Watchers,Parents & Family-Focused,Philanthropists,Wellness & Healthy Lifestyle",,Provided by Advertiser,,,,,web_view_url:https://handsoff.rfsu.se/
b073e913eed236f7e405dcb3de53c265e345fbc72607aae496e72d2a6a172fe1,https://www.snap.com/political-ads/asset/e079a3f93e1075a8265f419e6056458b4e3e59feadfd9cf7d6c8fcdf04e171b8?mediaType=mp4,SEK,549,1020,2022/08/22 07:00:59Z,2022/09/11 21:59:59Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,,,,,,,,,,,,,,,,,,,,web_view_url:https://handsoff.rfsu.se/?utm_source=Snapchat&utm_medium=cpm&utm_campaign=Valkampanj2022&utm_id=60375
