ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,CommitteeName,CommitteeIdentificationNumber,DisclosureNameOfCommittee,AdvertisingJurisdiction,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
fdd243f4daa49d74b2227db27afac1b4a0a7e9bfb48cc6fe113c4b97e8ea5f18,https://www.snap.com/political-ads/asset/40773757f238acf01c307cd4028bea08aa6eae531c4a38598f81b0a60ebec88f?mediaType=png,USD,5,2605,2020/11/30 08:08:44Z,2020/12/05 20:59:59Z,ANAS SA,KW,Mubarak Alarou,Mubarak Alarou,,,,,,18+,kuwait,,,,,latitude 29.299845524690895;longitude 48.00766470903585;radius 2.0,,,,,,,,,,Provided by Advertiser,,,,,
9e6c033841d922b4fad6897509a51729b7ff04451d377be92357cafb987071b1,https://www.snap.com/political-ads/asset/827f7913fdf271d31994122db1d8d8243525a6cd01517bee80d8fd4d6f2fe486?mediaType=png,USD,541,25067,2020/10/19 05:00:00Z,2020/10/31 04:59:59Z,Bully Pulpit Interactive,"1445 New York Ave NW,Washington,20005,US",Democratic National Committee,Democratic National Committee,,,,,,18+,united states,,,,,latitude 36.1244565;longitude -115.135299;radius 5.0,,,,,,,,,,Provided by Advertiser,,,,,
60b322fc18eada99c33809c6b17e27b40ebf654c208653448c5ff148c70cf822,https://www.snap.com/political-ads/asset/0bba3ffdb628022397f663cfee2f6c9aee3a0877db27cf5146a293e6b496c701?mediaType=png,USD,44,7503,2020/10/16 01:00:00Z,2020/10/19 16:30:00Z,League of Women Voters of California,US,,League of Women Voters of CA,,,,,,18-24,united states,,,,,latitude 36.813169;longitude -119.7478585;radius 5.0,,,,,,,,"Advocates & Activists,Collegiates,Hip-Hop Music Fans,TV Network Viewers (ABC),TV Network Viewers (BET),TV Network Viewers (CBS),TV Network Viewers (ESPN),TV Network Viewers (FOX News Channel),TV Network Viewers (MSNBC),TV Network Viewers (NBC)",,Provided by Advertiser,"en,es",,,,
c143717752dde1eb0ae5da2a34e6c5042296f5c372db99a30e6d5c3b8830b58a,https://www.snap.com/political-ads/asset/60ae6ff2ed22c704f2a38850989e7b456d9171a4676b8a215b7143bc0d8e39fd?mediaType=mp4,USD,18321,276500,2020/10/17 04:00:00Z,2020/11/04 04:59:59Z,DigitasLBi,"375 Hudson Street,New York,10014,US",Presidential Election,Victoria's Secret,,,,,FEMALE,18-24,united states,,,,,,,,,,,,,,,,,,,,"deep_link_uri:snapchat://games/launch?app_id=7b5157c1-2215-421c-a56a-c1ed4d66bf0e,deep_link_android_app:https://play.google.com/store/apps/details?id=com.snapchat.android,deep_link_ios_app:https://apps.apple.com/app/id447188370"
b2de11a8e7b2bc88b8f518d6a76e9c4be690c2e96c5580cf07f80b323c737981,https://www.snap.com/political-ads/asset/143a01e2473f5b458233a2d4ecee24c877f4e178e74e9df73dfd6b469b70fe01?mediaType=png,USD,320,17369,2020/10/19 17:03:20Z,2020/11/02 05:59:59Z,Bully Pulpit Interactive,"1445 New York Ave NW,Washington,20005,US",Democratic National Committee,Democratic National Committee,,,,,,18+,united states,,,,,"latitude 30.291724;longitude -81.508768;radius 5.0,latitude 30.222317;longitude -81.553198;radius 5.0,latitude 30.300712;longitude -81.718923;radius 5.0,latitude 30.335494;longitude -81.661335;radius 5.0",,,,,,,,,,Provided by Advertiser,,,,,
59a03f3a9245370a672751dc400dc48a5a43c90ba3684bb0dea37a9eeb001a7c,https://www.snap.com/political-ads/asset/6f7e9935555e09d188b88eef94d81f67f18ffee289bf3bce9bb806f170e2f6b7?mediaType=mp4,USD,189,23127,2020/09/16 03:00:59Z,2020/09/29 03:58:00Z,Realtime Media,"P.O. Box 13410,Arlington,22219,US",Donald J Trump for President,Donald J. Trump For President,,,,,,18+,united states,Minnesota,,,,,,,,,,,,,,,,,,,web_view_url:https://forms.donaldjtrump.com/landing/great-american-comeback/?utm_medium=ad&utm_source=dp_snap&utm_campaign=20200914_na_resp_djt_djtnonfund_ocpmyvc_cm_audience1208_creative04220_na_mn_b_18-99_snap_mob_na_lp0174_pers_aware_video_1080_2340_na&utm_content=pers
75e3f6fa08cb4041779e653353b0d302576fd7799b333a2de7005392c94c1a02,https://www.snap.com/political-ads/asset/deea52b4df23a01bcf985750945e570232677a735deb692eeef57f9119b60922?mediaType=mp4,USD,370,18320,2020/09/29 04:00:00Z,2020/09/30 04:00:00Z,Realtime Media,"P.O. Box 13410,Arlington,22219,US",Donald J Trump for President,Donald J. Trump For President,,,,,,18+,united states,Georgia,,,,,,,,,,,,,,,,,,,web_view_url:https://vote.donaldjtrump.com/?utm_medium=ad&utm_source=dp_snap&utm_campaign=20200928_na_resreg_djt_djtnonfund_ocpmyvc_cm_audience1210_creative04219_na_ga_b_18-99_snap_mob_na_lp0124_pers_aware_video_1080_2340_na&utm_content=pers
057a678a2eddb918cf75d0c790159faf89ba2396b1b0ff71a7e3960e1ff748d3,https://www.snap.com/political-ads/asset/04d4fe5b46f8919db74c4a00260402d3fd01468a517e6e67152fd01282d3f6e9?mediaType=png,USD,21,724,2020/11/01 16:30:00Z,2020/11/04 07:59:59Z,League of Women Voters of California,US,,League of Women Voters of CA,,,,,,18-24,united states,,,,,latitude 37.778162;longitude -122.4171575;radius 30.0,,,,,,,,"Advocates & Activists,Collegiates,Hip-Hop Music Fans,TV Network Viewers (ABC),TV Network Viewers (BET),TV Network Viewers (CBS),TV Network Viewers (ESPN),TV Network Viewers (FOX News Channel),TV Network Viewers (MSNBC),TV Network Viewers (NBC)",,Provided by Advertiser,"en,es",,,,
6383028a72b2a60b50e64450c9199b98c64974f7c9507cd739f28dbea1f14595,https://www.snap.com/political-ads/asset/a63680700ae1740d95b24f5e5f3b7ca86c95b5bfcbbe9012f5871c850dd50a68?mediaType=png,USD,3,1466,2020/01/30 21:00:00Z,2020/01/31 05:59:59Z,RedRock Strategies,"9500 W Flamingo Rd Ste 203,Las Vegas,89147,US",David Young,"Young for Iowa, Inc.",,,,,,18+,united states,,,,,latitude 41.604209;longitude -93.652211;radius 0.9,,,,,,,,,,Provided by Advertiser,en,,,,
33bde9c3c3af4bdac69712ad72c3f6b498ef92a0a5f421227e8d073fbae9bd29,https://www.snap.com/political-ads/asset/c2cf5b031b72b33e59f0edb17c7c4b2babc4e75f5e6278c759cb299fdb672ffb?mediaType=png,USD,55,86432,2020/12/05 09:35:08Z,2020/12/06 08:00:59Z,Jassem Production,KW,,saadon Hamad Al-Otaibi,,,,,,,kuwait,"Hawalli,Al Kuwayt,Al Farwaniyah",,,,,,,,,,,,,,Provided by Advertiser,ar,,,,
